female	male
10	NA
10	NA
10	NA
5	NA
4	NA
4	NA
5	NA
4	NA
1	NA
3	NA
7	NA
8	NA
7	NA
6	NA
1	NA
1	NA
7	NA
1	NA
6	NA
5	NA
6	NA
10	NA
8	NA
1	NA
5	NA
1	NA
1	NA
1	NA
8	NA
6	NA
6	NA
6	NA
9	NA
1	NA
1	NA
1	NA
1	NA
4	NA
4	NA
4	NA
1	NA
7	NA
9	NA
8	NA
1	NA
1	NA
3	NA
10	NA
NA	NA
3	NA
7	NA
NA	NA
NA	NA
1	NA
1	NA
5	NA
5	NA
4	NA
5	NA
1	NA
6	NA
NA	NA
1	NA
NA	NA
8	NA
5	NA
3	NA
5	NA
7	NA
7	NA
1	NA
10	NA
5	NA
6	NA
1	NA
NA	NA
6	NA
NA	NA
NA	NA
1	NA
1	NA
6	NA
1	NA
NA	NA
NA	NA
NA	NA
1	NA
1	NA
1	NA
7	NA
3	NA
1	NA
4	NA
5	NA
10	NA
NA	NA
2	NA
NA	NA
NA	NA
NA	NA
